"","Variables","Class","Descriptives/ Mean"
"1","SubjectID","integer","1-30"
"2","Activity","factor","6"
"3","TimeBodyAcc-mean()-X-axis","numeric","0.274302742245795"
"4","TimeBodyAcc-mean()-Y-axis","numeric","-0.0178755238674415"
"5","TimeBodyAcc-mean()-Z-axis","numeric","-0.109163815804519"
"6","TimeGravityAcc-mean()-X-axis","numeric","0.697477505882702"
"7","TimeGravityAcc-mean()-Y-axis","numeric","-0.0162128361521394"
"8","TimeGravityAcc-mean()-Z-axis","numeric","0.0741278709325255"
"9","TimeBodyAccJerk-mean()-X-axis","numeric","0.0794735599203562"
"10","TimeBodyAccJerk-mean()-Y-axis","numeric","0.00756520996888408"
"11","TimeBodyAccJerk-mean()-Z-axis","numeric","-0.00495340328183431"
"12","TimeBodyGyro-mean()-X-axis","numeric","-0.0324371599031218"
"13","TimeBodyGyro-mean()-Y-axis","numeric","-0.0742595723452297"
"14","TimeBodyGyro-mean()-Z-axis","numeric","0.0874446468695526"
"15","TimeBodyGyroJerk-mean()-X-axis","numeric","-0.0960567959204382"
"16","TimeBodyGyroJerk-mean()-Y-axis","numeric","-0.0426927819752453"
"17","TimeBodyGyroJerk-mean()-Z-axis","numeric","-0.0548018825799509"
"18","TimeBodyAccMagnitude-mean()","numeric","-0.49728966685894"
"19","TimeGravityAccMagnitude-mean()","numeric","-0.49728966685894"
"20","TimeBodyAccJerkMagnitude-mean()","numeric","-0.607929591545179"
"21","TimeBodyGyroMagnitude-mean()","numeric","-0.565163077212988"
"22","TimeBodyGyroJerkMagnitude-mean()","numeric","-0.736369300428253"
"23","FrequencyBodyAcc-mean()-X-axis","numeric","-0.575799983503946"
"24","FrequencyBodyAcc-mean()-Y-axis","numeric","-0.488732713013952"
"25","FrequencyBodyAcc-mean()-Z-axis","numeric","-0.62973875362598"
"26","FrequencyBodyAcc-meanFreq()-X-axis","numeric","-0.23226609715376"
"27","FrequencyBodyAcc-meanFreq()-Y-axis","numeric","0.0115288797872382"
"28","FrequencyBodyAcc-meanFreq()-Z-axis","numeric","0.0437174260645842"
"29","FrequencyBodyAccJerk-mean()-X-axis","numeric","-0.613928222283428"
"30","FrequencyBodyAccJerk-mean()-Y-axis","numeric","-0.588163069360073"
"31","FrequencyBodyAccJerk-mean()-Z-axis","numeric","-0.714358487490646"
"32","FrequencyBodyAccJerk-meanFreq()-X-axis","numeric","-0.0691017912141093"
"33","FrequencyBodyAccJerk-meanFreq()-Y-axis","numeric","-0.228102065671109"
"34","FrequencyBodyAccJerk-meanFreq()-Z-axis","numeric","-0.137602308791712"
"35","FrequencyBodyGyro-mean()-X-axis","numeric","-0.636739605053057"
"36","FrequencyBodyGyro-mean()-Y-axis","numeric","-0.676686800745998"
"37","FrequencyBodyGyro-mean()-Z-axis","numeric","-0.604391244378742"
"38","FrequencyBodyGyro-meanFreq()-X-axis","numeric","-0.104551025495773"
